Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked
1,1,1,38.0,1,0,71.2833,2085.0,0
1,1,1,35.0,1,0,53.1,2123.0,1
0,1,0,54.0,0,0,51.8625,4046.0,1
1,3,1,4.0,1,1,16.7,6006.0,1
1,1,1,58.0,0,0,26.55,2103.0,1
1,2,0,34.0,0,0,13.0,3056.0,1
1,1,0,28.0,0,0,35.5,6.0,1
0,1,0,19.0,3,2,263.0,2025.0,1
1,1,1,49.0,1,0,76.7292,3033.0,0
0,1,0,65.0,0,1,61.9792,1030.0,0
0,1,0,45.0,1,0,83.475,2083.0,1
1,2,1,29.0,0,0,10.5,5033.0,1
1,1,1,23.0,3,2,263.0,2025.0,1
0,1,0,46.0,1,0,61.175,4031.0,1
0,1,0,71.0,0,0,34.6542,5.0,0
1,1,0,23.0,0,1,63.3583,3011.0,0
0,1,0,21.0,0,1,77.2875,3026.0,1
0,1,0,47.0,0,0,52.0,2110.0,1
0,1,0,24.0,0,1,247.5208,1059.0,0
1,2,1,32.5,0,0,13.0,4101.0,1
0,1,0,54.0,0,1,77.2875,3026.0,1
1,1,1,19.0,0,2,26.2833,3047.0,1
0,1,0,37.0,1,0,53.1,2123.0,1
0,1,0,24.0,0,0,79.2,1086.0,0
0,2,0,36.5,0,2,26.0,5002.0,1
1,1,1,22.0,1,0,66.6,2002.0,1
0,1,0,61.0,0,0,33.5,1019.0,1
0,1,0,56.0,0,0,30.6958,7.0,0
0,1,1,50.0,0,0,28.7125,2049.0,0
1,2,0,1.0,2,1,39.0,5004.0,1
1,2,0,3.0,1,1,26.0,5002.0,1
1,1,1,44.0,0,0,27.7208,1004.0,0
1,1,1,58.0,0,0,146.5208,1080.0,0
0,3,1,2.0,0,1,10.4625,6006.0,1
1,1,0,40.0,0,0,31.0,31.0,0
1,1,1,31.0,1,0,113.275,3036.0,0
1,1,1,32.0,0,0,76.2917,3015.0,0
1,1,0,38.0,1,0,90.0,2093.0,1
1,1,1,35.0,1,0,83.475,2083.0,1
0,1,0,44.0,2,0,90.0,2078.0,0
1,1,0,37.0,1,1,52.5542,3035.0,1
0,3,1,29.0,1,1,10.4625,6006.0,1
0,1,0,62.0,0,0,26.55,2087.0,1
1,1,1,30.0,0,0,86.5,1077.0,1
0,1,0,52.0,1,1,79.65,4067.0,1
0,1,0,40.0,0,0,0.0,1094.0,1
1,1,1,58.0,0,1,153.4625,2125.0,1
1,1,1,35.0,0,0,135.6333,2099.0,1
0,1,0,37.0,0,1,29.7,2118.0,0
1,1,1,63.0,1,0,77.9583,3007.0,1
1,1,1,19.0,1,0,91.0792,1049.0,0
0,1,1,2.0,1,2,151.55,2024.0,1
1,1,1,50.0,0,1,247.5208,1059.0,0
1,1,0,0.92,1,2,151.55,2024.0,1
1,1,1,17.0,1,0,108.9,2065.0,0
1,1,1,30.0,0,0,56.9292,4036.0,0
1,1,1,24.0,0,0,83.1583,2054.0,0
1,1,1,18.0,2,2,262.375,1061.25,0
1,1,1,31.0,0,2,164.8667,2007.0,1
1,1,1,40.0,1,1,134.5,4034.0,0
1,1,1,36.0,0,0,135.6333,2032.0,0
1,1,1,16.0,0,1,57.9792,1018.0,0
0,1,0,45.5,0,0,28.5,2124.0,1
0,1,0,38.0,0,1,153.4625,2091.0,1
0,1,0,29.0,1,0,66.6,2002.0,1
1,1,1,41.0,0,0,134.5,4040.0,0
1,2,0,2.0,1,1,26.0,5002.0,1
1,1,1,24.0,3,2,263.0,2025.0,1
1,2,1,24.0,0,0,13.0,5033.0,1
1,1,1,22.0,0,1,55.0,4033.0,1
1,1,1,60.0,1,0,75.25,3037.0,0
1,1,1,24.0,0,0,69.3,1035.0,0
1,1,0,25.0,1,0,55.4417,4050.0,0
0,1,0,27.0,0,2,211.5,2082.0,0
1,1,0,36.0,1,2,120.0,1097.0,1
1,1,1,23.0,1,0,113.275,3036.0,0
1,3,1,24.0,0,2,16.7,6006.0,1
1,1,1,33.0,1,0,90.0,2078.0,0
1,3,0,32.0,0,0,8.05,4010.0,1
1,1,0,28.0,0,0,26.55,2052.0,1
0,1,0,50.0,1,0,55.9,4044.0,1
1,1,1,14.0,1,2,120.0,1097.0,1
