Sex,Pclass,Title,Age,FamilySize,Fare,Cabin_Letter,Cabin_Number,Embarked,Survived
0,3,12,5,1,1,-1,-1,1,0
1,1,13,8,1,4,2,85,0,1
1,3,9,6,0,1,-1,-1,1,1
1,1,13,8,1,3,2,123,1,1
0,3,12,8,0,1,-1,-1,1,0
0,3,12,0,0,1,-1,-1,2,0
0,1,12,11,0,3,4,46,1,0
0,3,8,1,4,2,-1,-1,1,0
1,3,13,6,2,1,-1,-1,1,1
1,2,13,3,1,2,-1,-1,0,1
1,3,9,1,2,1,6,6,1,1
1,1,9,12,0,2,2,103,1,1
0,3,12,5,0,1,-1,-1,1,0
0,3,12,8,6,2,-1,-1,1,0
1,3,9,3,0,1,-1,-1,1,0
1,2,13,12,0,1,-1,-1,1,1
0,3,8,1,5,2,-1,-1,2,0
0,2,12,0,0,1,-1,-1,1,1
1,3,13,7,1,1,-1,-1,1,0
1,3,13,0,0,1,-1,-1,0,1
0,2,12,8,0,2,-1,-1,1,0
0,2,12,7,0,1,3,56,1,1
1,3,9,4,0,1,-1,-1,2,1
0,1,12,6,0,2,0,6,1,1
1,3,9,2,4,2,-1,-1,1,0
1,3,13,8,6,2,-1,-1,1,1
0,3,12,0,0,1,-1,-1,0,0
0,1,12,4,5,14,2,232527,1,0
1,3,9,0,0,1,-1,-1,2,1
0,3,12,0,0,1,-1,-1,1,0
0,1,3,9,0,2,-1,-1,0,0
1,1,13,0,1,8,1,78,0,1
1,3,9,0,0,1,-1,-1,2,1
0,2,12,14,0,1,-1,-1,1,0
0,1,12,6,1,5,-1,-1,0,0
0,1,12,9,1,3,-1,-1,1,0
0,3,12,0,0,1,-1,-1,0,1
0,3,12,5,0,1,-1,-1,1,0
1,3,9,4,2,1,-1,-1,1,0
1,3,9,3,1,1,-1,-1,0,1
1,3,13,9,1,1,-1,-1,1,0
1,2,13,6,1,2,-1,-1,1,0
0,3,12,0,0,1,-1,-1,0,0
1,2,9,1,3,3,-1,-1,0,1
1,3,9,4,0,1,-1,-1,2,1
0,3,12,0,0,1,-1,-1,1,0
0,3,12,0,1,1,-1,-1,2,0
1,3,9,0,0,1,-1,-1,2,1
0,3,12,0,2,2,-1,-1,0,0
1,3,13,4,1,1,-1,-1,1,0
0,3,8,2,5,2,-1,-1,1,0
0,3,12,5,0,1,-1,-1,1,0
1,1,13,10,1,4,3,33,0,1
1,2,13,6,1,2,-1,-1,1,1
0,1,12,14,1,4,1,30,0,0
0,1,12,0,0,2,2,52,1,1
1,2,9,5,0,1,-1,-1,1,1
0,3,12,6,0,1,-1,-1,0,0
1,2,9,2,3,2,-1,-1,1,1
0,3,8,3,7,3,-1,-1,1,0
0,3,12,5,0,1,-1,-1,0,0
1,1,9,8,0,5,1,28,-1,1
0,1,12,10,1,5,2,83,1,0
0,3,8,1,5,2,-1,-1,1,0
0,1,12,0,0,2,-1,-1,0,0
0,3,8,0,2,1,-1,-1,0,1
1,2,13,6,0,1,5,33,1,1
0,3,12,4,0,1,-1,-1,1,0
1,3,9,4,6,1,-1,-1,1,1
0,3,12,6,2,1,-1,-1,1,0
0,2,12,7,0,1,-1,-1,1,0
1,3,9,4,7,3,-1,-1,1,0
0,2,12,5,0,4,-1,-1,1,0
0,3,12,6,1,1,-1,-1,0,0
0,3,12,7,0,3,-1,-1,1,1
0,3,12,6,0,1,5,73,1,0
0,3,12,0,0,1,-1,-1,1,0
0,3,12,0,0,1,-1,-1,1,0
0,2,8,1,2,2,-1,-1,1,1
1,3,9,7,0,1,-1,-1,1,1
0,3,12,5,0,1,-1,-1,1,0
0,3,12,6,0,1,-1,-1,1,1
1,3,9,0,0,1,-1,-1,2,1
0,1,12,6,0,3,-1,-1,1,0
1,2,9,4,0,1,-1,-1,1,1
1,3,13,7,3,1,-1,-1,1,1
0,3,12,4,4,2,-1,-1,1,0
0,3,12,0,0,1,-1,-1,1,0
1,1,9,5,5,14,2,232527,1,1
0,3,12,5,0,1,-1,-1,1,0
0,3,12,6,0,1,-1,-1,1,0
0,3,12,5,0,1,-1,-1,1,0
0,1,12,10,1,4,4,31,1,0
0,3,12,6,3,2,-1,-1,1,0
0,3,12,12,0,1,-1,-1,1,0
0,3,12,0,0,1,-1,-1,1,0
0,1,12,15,0,2,0,5,0,0
0,1,12,5,1,4,3,1012,0,1
1,2,13,7,1,2,-1,-1,1,1
0,2,12,7,1,2,-1,-1,1,0
1,3,9,6,0,1,-1,-1,1,0
0,3,12,0,0,1,-1,-1,1,0
0,1,12,5,1,4,3,26,1,0
0,3,12,7,0,1,-1,-1,1,0
0,3,12,8,2,1,-1,-1,1,0
0,3,12,6,0,1,-1,-1,1,0
1,3,9,5,0,1,-1,-1,1,1
0,3,12,0,0,1,-1,-1,1,1
0,3,12,8,0,1,-1,-1,1,0
1,3,9,0,1,2,-1,-1,2,1
0,1,12,10,0,3,2,110,1,0
1,3,9,3,1,1,-1,-1,0,0
0,3,12,5,0,1,-1,-1,1,0
1,3,9,5,1,1,-1,-1,1,0
1,3,9,4,0,1,-1,-1,0,0
0,3,12,5,0,1,-1,-1,1,0
0,3,12,15,0,1,-1,-1,2,0
0,2,12,6,1,2,-1,-1,1,0
0,1,12,5,1,13,1,5860,0,0
1,3,9,1,6,2,-1,-1,1,0
0,2,12,5,2,4,-1,-1,1,0
0,3,12,0,0,1,-1,-1,1,0
0,2,12,7,1,2,-1,-1,0,0
1,2,9,7,0,1,4,101,1,1
0,1,12,11,1,4,3,26,1,0
0,3,8,3,1,1,-1,-1,0,1
0,3,12,0,0,1,-1,-1,2,0
0,3,12,5,0,1,-1,-1,1,1
1,3,9,0,2,2,5,69,0,1
0,3,12,10,0,1,-1,-1,1,0
0,3,12,7,0,1,-1,-1,0,0
0,3,12,5,0,1,-1,-1,1,0
1,3,13,10,1,1,-1,-1,1,0
1,2,13,6,1,2,-1,-1,1,1
0,2,12,6,0,1,-1,-1,1,0
0,2,12,5,0,1,-1,-1,0,0
1,1,9,4,2,2,3,47,1,1
0,1,12,8,1,3,2,123,1,0
0,3,12,4,0,1,-1,-1,1,0
0,1,12,5,0,4,1,86,0,0
1,3,13,0,2,1,-1,-1,0,0
1,3,9,5,0,1,-1,-1,1,1
1,3,13,5,1,1,-1,-1,1,1
0,3,12,4,0,1,-1,-1,2,0
0,2,12,4,0,1,-1,-1,1,0
0,2,12,4,2,2,-1,-1,1,0
0,3,12,6,0,1,-1,-1,1,1
1,3,9,2,4,2,-1,-1,1,0
0,2,12,8,2,2,5,2,1,0
0,2,15,9,0,1,-1,-1,1,0
0,2,15,11,0,1,-1,-1,1,0
1,1,13,5,1,4,2,2,1,1
0,3,12,12,0,1,-1,-1,1,0
0,3,12,9,2,1,-1,-1,1,0
0,3,12,0,0,1,-1,-1,1,0
0,1,12,11,1,4,-1,-1,0,0
1,3,9,4,0,1,-1,-1,2,1
0,3,12,7,0,1,-1,-1,1,0
0,3,12,0,0,1,-1,-1,1,0
0,3,8,0,10,4,-1,-1,1,0
0,3,12,9,1,1,-1,-1,1,0
1,2,13,9,0,1,-1,-1,1,1
0,3,12,6,0,1,-1,-1,1,0
0,3,12,4,0,1,-1,-1,1,0
0,3,8,1,5,2,-1,-1,1,0
0,3,8,2,2,2,-1,-1,1,1
1,1,13,0,1,3,4,33,1,1
1,3,13,10,5,2,-1,-1,1,0
0,1,12,0,0,2,-1,-1,1,0
0,3,12,6,0,3,-1,-1,1,0
0,1,12,13,0,2,1,19,1,0
0,3,8,1,5,2,-1,-1,2,0
1,3,9,1,2,1,-1,-1,1,1
0,3,12,5,0,1,-1,-1,1,0
0,1,12,12,0,2,0,7,0,0
0,3,12,4,2,1,-1,-1,1,0
0,3,8,0,4,2,-1,-1,1,0
1,1,9,11,0,2,2,49,0,0
0,2,12,7,0,1,-1,-1,1,0
0,3,12,8,0,1,-1,-1,1,0
1,3,9,0,10,4,-1,-1,1,0
0,2,12,0,0,1,-1,-1,0,0
0,3,8,2,6,2,-1,-1,1,0
0,2,8,1,3,2,5,4,1,1
1,3,9,1,2,2,-1,-1,1,1
0,1,12,0,0,3,0,32,1,0
1,3,13,0,1,1,-1,-1,2,1
0,1,12,10,0,2,-1,-1,1,1
0,3,12,9,2,1,-1,-1,2,0
0,3,12,8,0,1,-1,-1,1,0
1,2,13,7,0,1,-1,-1,1,1
0,2,12,4,0,1,-1,-1,1,0
1,3,9,4,1,1,-1,-1,1,1
0,2,8,1,2,2,5,2,1,1
1,1,13,9,0,2,1,4,0,1
1,1,9,12,0,8,1,80,0,1
0,3,12,0,0,1,-1,-1,2,0
0,3,12,9,1,1,-1,-1,1,0
1,3,9,0,0,1,-1,-1,2,1
1,2,9,5,0,1,-1,-1,1,0
0,3,12,6,0,1,-1,-1,1,0
0,3,12,0,10,4,-1,-1,1,0
0,3,12,7,0,1,-1,-1,1,0
0,3,12,10,0,1,-1,-1,0,0
0,3,12,4,0,1,-1,-1,1,1
1,3,9,1,1,1,6,6,1,0
0,3,12,7,1,1,-1,-1,1,0
0,3,12,6,0,1,-1,-1,0,1
1,3,9,4,0,1,-1,-1,2,1
0,1,12,9,0,2,0,31,0,1
0,3,12,5,0,1,-1,-1,1,0
1,2,9,8,0,2,-1,-1,1,1
0,3,12,5,0,1,-1,-1,1,0
0,2,12,7,0,1,-1,-1,1,0
0,3,12,0,1,1,-1,-1,2,0
1,1,9,7,1,6,3,36,0,1
1,3,9,6,0,1,-1,-1,1,1
0,2,12,9,1,2,-1,-1,1,0
1,1,9,7,0,4,3,15,0,1
0,2,12,7,0,1,-1,-1,1,0
0,3,12,4,0,1,-1,-1,1,1
0,2,12,6,0,1,-1,-1,1,0
0,3,12,11,0,1,-1,-1,1,0
0,3,12,0,0,1,-1,-1,1,0
0,1,12,8,1,5,2,93,1,1
0,3,12,5,0,1,-1,-1,1,0
0,2,12,4,0,1,-1,-1,1,1
0,3,12,5,0,1,-1,-1,1,0
0,2,12,4,0,1,-1,-1,1,0
1,3,9,0,4,2,-1,-1,1,0
1,1,13,8,1,5,2,83,1,1
0,3,12,6,0,1,-1,-1,1,0
0,2,12,12,0,1,-1,-1,1,0
1,3,9,2,6,2,-1,-1,1,1
0,2,12,5,0,1,-1,-1,1,0
1,3,9,0,0,1,-1,-1,1,0
0,2,12,9,1,2,-1,-1,1,0
1,2,9,2,2,2,-1,-1,1,1
0,2,12,4,0,1,-1,-1,1,0
0,2,12,7,0,1,-1,-1,1,0
1,3,9,0,1,1,-1,-1,0,0
1,3,9,0,1,1,-1,-1,2,1
0,2,12,6,0,1,-1,-1,1,0
0,3,12,5,0,1,-1,-1,1,0
0,3,12,7,0,1,-1,-1,0,0
0,1,4,9,2,5,2,78,2,0
1,3,9,6,0,1,-1,-1,1,0
1,2,13,5,2,1,-1,-1,1,1
0,1,12,8,2,3,3,35,1,1
0,2,15,11,1,2,-1,-1,1,0
0,3,12,0,0,1,-1,-1,1,0
1,3,13,6,2,1,6,6,1,0
0,1,12,13,0,2,2,87,1,0
0,3,12,7,1,1,-1,-1,1,0
1,3,13,9,2,2,-1,-1,1,0
1,3,13,6,2,1,-1,-1,0,1
1,1,13,0,0,4,-1,-1,0,1
1,1,9,7,0,5,1,77,1,1
1,1,9,8,0,26,-1,-1,0,1
1,2,13,11,1,2,-1,-1,1,1
0,3,12,0,0,1,-1,-1,2,0
0,3,8,1,6,2,-1,-1,1,1
0,1,12,11,2,4,4,67,1,0
0,1,12,9,0,1,1,94,1,0
1,3,9,0,0,1,-1,-1,2,0
0,2,12,8,0,1,-1,-1,1,0
0,3,12,4,5,2,-1,-1,1,0
0,3,12,6,1,1,-1,-1,1,1
1,1,13,12,1,8,2,125,1,1
1,1,9,8,0,7,2,99,1,1
0,1,12,0,0,2,-1,-1,1,0
0,3,12,6,0,1,-1,-1,1,1
1,2,13,9,1,1,-1,-1,1,1
0,1,12,8,1,2,2,118,0,0
1,3,9,0,0,1,-1,-1,2,1
1,1,9,13,1,4,3,7,1,1
1,3,9,10,0,1,-1,-1,1,0
0,2,12,0,0,1,-1,-1,1,0
0,3,8,2,5,2,-1,-1,2,0
1,3,13,8,2,2,-1,-1,1,1
0,3,12,14,0,1,-1,-1,2,0
0,3,12,6,0,1,-1,-1,1,0
0,3,12,4,0,1,-1,-1,1,0
0,3,12,4,0,1,-1,-1,1,1
0,1,12,0,0,2,0,19,1,0
0,3,12,7,0,1,-1,-1,0,0
0,3,12,7,0,1,-1,-1,1,1
0,3,12,5,0,1,-1,-1,1,0
0,2,12,9,0,1,-1,-1,1,1
1,3,9,5,0,1,-1,-1,2,1
1,1,9,6,0,4,-1,-1,1,1
1,1,13,4,1,5,1,49,0,1
0,2,12,8,0,1,3,-1,0,0
1,3,9,5,0,1,-1,-1,1,0
0,3,12,5,0,1,-1,-1,1,0
0,1,12,0,0,2,-1,-1,0,0
0,3,12,5,0,1,-1,-1,0,0
1,1,9,1,3,8,2,2226,1,0
0,1,12,0,0,2,2,106,1,1
1,1,13,11,1,13,1,5860,0,1
1,3,9,0,0,1,-1,-1,2,1
0,3,12,0,2,2,-1,-1,2,1
0,3,12,4,0,1,-1,-1,1,0
1,2,9,0,0,1,4,101,2,1
0,3,12,0,0,1,-1,-1,1,0
0,1,8,1,3,8,2,2226,1,1
1,1,9,0,0,6,-1,-1,0,1
1,1,13,4,1,6,2,65,0,1
0,2,12,7,1,2,-1,-1,0,0
1,1,9,7,0,3,4,36,0,1
1,1,9,5,0,5,2,54,0,1
1,1,9,4,4,14,1,57596366,0,1
1,2,13,6,2,2,-1,-1,1,0
0,3,12,6,0,1,-1,-1,1,0
0,2,12,9,2,2,-1,-1,1,0
1,3,9,6,0,1,-1,-1,1,1
1,2,13,5,1,2,-1,-1,1,1
0,2,4,11,0,1,-1,-1,1,0
1,1,9,7,2,9,2,7,1,1
1,1,13,9,2,7,4,34,0,1
0,3,12,5,0,1,-1,-1,1,0
0,3,12,6,0,1,-1,-1,1,0
1,2,9,7,0,1,-1,-1,2,1
1,2,13,5,2,2,-1,-1,1,1
0,3,12,0,10,4,-1,-1,1,0
1,1,9,8,0,7,2,32,0,1
0,3,12,13,0,1,-1,-1,1,0
1,2,13,8,0,1,3,-1,1,1
1,3,13,7,2,2,-1,-1,1,1
1,1,9,4,1,3,1,18,0,1
1,3,9,0,2,2,-1,-1,2,1
0,1,12,10,0,2,2,124,1,0
0,1,12,8,1,8,2,91,1,0
0,3,12,4,2,1,-1,-1,1,0
1,1,13,0,1,7,-1,-1,1,1
0,3,12,0,0,1,-1,-1,1,0
0,1,12,6,1,4,2,2,1,0
1,1,9,9,0,7,4,40,0,1
0,3,12,10,0,1,-1,-1,1,1
0,1,12,10,0,2,7,-1,1,0
0,2,8,1,2,2,5,2,1,1
1,1,9,5,5,14,2,232527,1,1
0,2,12,6,0,1,-1,-1,1,0
0,2,12,6,0,1,-1,-1,1,0
0,2,12,8,0,1,-1,-1,1,0
1,2,9,5,0,1,5,33,1,1
1,2,9,9,0,1,-1,-1,1,1
1,3,13,0,1,1,-1,-1,1,1
0,3,8,1,2,1,-1,-1,1,1
0,3,12,9,0,1,-1,-1,1,0
0,3,12,5,0,1,-1,-1,1,0
0,1,12,0,0,2,2,128,1,0
0,3,12,4,2,1,-1,-1,0,0
0,3,12,6,1,1,-1,-1,1,0
0,3,12,0,0,1,-1,-1,0,0
0,3,12,6,0,1,-1,-1,1,0
1,1,9,5,1,3,4,33,1,1
1,2,9,8,0,1,-1,-1,1,0
1,3,9,0,0,1,-1,-1,2,1
1,3,9,0,0,1,-1,-1,2,1
0,3,12,9,5,2,-1,-1,1,0
0,2,12,6,1,2,-1,-1,0,0
1,3,13,10,1,1,-1,-1,0,0
0,3,12,8,0,1,-1,-1,1,0
0,3,12,0,1,1,-1,-1,2,0
0,3,12,7,0,1,-1,-1,1,0
1,1,13,13,1,4,3,37,0,1
1,3,13,0,0,1,-1,-1,0,1
1,3,9,0,0,1,-1,-1,2,1
1,1,11,5,0,4,1,35,0,1
0,1,12,6,1,3,4,50,0,1
0,3,12,4,1,1,-1,-1,1,0
0,3,12,4,0,1,-1,-1,1,0
0,1,12,5,0,7,-1,-1,0,0
1,3,9,1,4,2,-1,-1,1,0
1,1,13,0,1,5,-1,-1,0,1
1,3,9,5,0,1,-1,-1,1,1
0,1,12,6,2,11,2,82,0,0
